variable;source locations;header locations;kconfig locations;kbuild locations;prompt;solutions
CONFIG_AVR32;\drivers\misc\atmel_tclib.c:20, \drivers\spi\spi-atmel.c:227, \drivers\tty\serial\atmel_serial.c:213, \drivers\tty\vt\keyboard.c:1218, \drivers\video\fbdev\atmel_lcdfb.c:157, \sound\atmel\ac97c.c:40;\drivers\mmc\host\atmel-mci-regs.h:138, \drivers\mmc\host\atmel-mci-regs.h:151, \drivers\usb\gadget\udc\atmel_usba_udc.h:46, \drivers\usb\gadget\udc\atmel_usba_udc.h:194;\arch\avr32\Kconfig:1;;no;"Too big find solutions to"
CONFIG_BCMA_BLOCKIO;\drivers\bcma\host_pci.c:81, \drivers\bcma\host_pci.c:152, \drivers\bcma\host_soc.c:49, \drivers\bcma\host_soc.c:136, \drivers\bcma\host_soc.c:160;\include\linux\bcma\bcma.h:48, \include\linux\bcma\bcma.h:390;\drivers\bcma\Kconfig:17;;no;"!CONFIG_BCMA CONFIG_BCMA_MODULE !CONFIG_BCMA_HOST_PCI !CONFIG_BCMA_HOST_SOC 
CONFIG_BCMA !CONFIG_BCMA_MODULE !CONFIG_BCMA_HOST_PCI !CONFIG_BCMA_HOST_SOC"
CONFIG_BLK_DEV_IDE_SATA;\drivers\ide\amd74xx.c:300, \drivers\ide\amd74xx.c:305, \drivers\ide\ide-pci-generic.c:162, \drivers\ide\piix.c:438, \drivers\ide\siimage.c:56, \drivers\ide\siimage.c:812;;\drivers\ide\Kconfig:47;;yes;"!CONFIG_BLK_DEV_AMD74XX !CONFIG_BLK_DEV_AMD74XX_MODULE !CONFIG_BLK_DEV_GENERIC !CONFIG_BLK_DEV_GENERIC_MODULE !CONFIG_BLK_DEV_PIIX !CONFIG_BLK_DEV_PIIX_MODULE !CONFIG_BLK_DEV_SIIMAGE !CONFIG_BLK_DEV_SIIMAGE_MODULE !CONFIG_IDE CONFIG_IDE_MODULE 
!CONFIG_BLK_DEV_AMD74XX !CONFIG_BLK_DEV_AMD74XX_MODULE !CONFIG_BLK_DEV_GENERIC !CONFIG_BLK_DEV_GENERIC_MODULE !CONFIG_BLK_DEV_PIIX !CONFIG_BLK_DEV_PIIX_MODULE !CONFIG_BLK_DEV_SIIMAGE !CONFIG_BLK_DEV_SIIMAGE_MODULE CONFIG_IDE !CONFIG_IDE_MODULE"
CONFIG_BUG;\arch\avr32\kernel\traps.c:172, \arch\avr32\kernel\traps.c:193, \arch\blackfin\kernel\trace.c:591, \arch\blackfin\kernel\traps.c:192, \arch\blackfin\kernel\traps.c:565, \arch\cris\arch-v32\kernel\irq.c:497, \arch\cris\arch-v32\kernel\traps.c:131, \arch\powerpc\kernel\asm-offsets.c:428, \arch\powerpc\kernel\entry_64.S:130, \arch\powerpc\kernel\entry_64.S:1036, \arch\powerpc\xmon\xmon.c:1464, \arch\powerpc\xmon\xmon.c:1485, \drivers\usb\wusbcore\wa-rpipe.c:425, \drivers\usb\wusbcore\wa-rpipe.c:426, \drivers\usb\wusbcore\wa-rpipe.c:448, \lib\bug.c:6, \lib\bug.c:12, \lib\bug.c:20, \net\core\dev.c:2575, \net\wimax\id-table.c:129, \net\wimax\id-table.c:135;\arch\alpha\include\asm\bug.h:6, \arch\arm\include\asm\bug.h:8, \arch\arm\include\asm\bug.h:60, \arch\avr32\include\asm\bug.h:11, \arch\avr32\include\asm\bug.h:69, \arch\blackfin\include\asm\bug.h:10, \arch\cris\include\arch-v10\arch\bug.h:6, \arch\cris\include\arch-v32\arch\bug.h:6, \arch\frv\include\asm\bug.h:16, \arch\frv\include\asm\bug.h:50, \arch\ia64\include\asm\bug.h:4, \arch\m68k\include\asm\bug.h:5, \arch\mips\include\asm\bug.h:7, \arch\mn10300\include\asm\bug.h:14, \arch\mn10300\include\asm\bug.h:33, \arch\parisc\include\asm\bug.h:11, \arch\powerpc\include\asm\bug.h:15, \arch\powerpc\include\asm\bug.h:125, \arch\s390\include\asm\bug.h:6, \arch\s390\include\asm\bug.h:67, \arch\sparc\include\asm\bug.h:4, \include\asm-generic\bug.h:15, \include\asm-generic\bug.h:139, \include\linux\netdevice.h:3653;\init\Kconfig:1459;;yes;"Too big find solutions to"
CONFIG_CHROME_PLATFORMS;;;\drivers\platform\chrome\Kconfig:5;\drivers\platform\Makefile:9;yes;"!CONFIG_CHROMEOS_LAPTOP !CONFIG_CHROMEOS_LAPTOP_MODULE !CONFIG_CHROMEOS_PSTORE !CONFIG_CHROMEOS_PSTORE_MODULE !CONFIG_CROS_EC_CHARDEV !CONFIG_CROS_EC_CHARDEV_MODULE !CONFIG_CROS_EC_LPC !CONFIG_CROS_EC_LPC_MODULE !CONFIG_CROS_EC_PROTO"
CONFIG_COMMON_CLK_HI6220;;;\drivers\clk\hisilicon\Kconfig:1;\drivers\clk\hisilicon\Makefile:10;yes;"!CONFIG_ARCH_HISI"
CONFIG_COMMON_CLK_VERSATILE;;;\drivers\clk\versatile\Kconfig:1;\drivers\clk\Makefile:80;yes;"!CONFIG_ARCH_REALVIEW !CONFIG_CLK_SP810 !CONFIG_CLK_VEXPRESS_OSC !CONFIG_ICST !CONFIG_INTEGRATOR_IMPD1"
CONFIG_CPU_FREQ_DEFAULT_GOV_PERFORMANCE;\drivers\cpufreq\intel_pstate.c:186;\include\linux\cpufreq.h:476;\drivers\cpufreq\Kconfig:57;;yes;"CONFIG_CPU_FREQ !CONFIG_X86_INTEL_PSTATE"
CONFIG_CRYPTO_CAMELLIA_AESNI_AVX2_X86_64;;;\crypto\Kconfig:1051;\arch\x86\crypto\Makefile:50;yes;"!CONFIG_CRYPTO_CAMELLIA_AESNI_AVX2_X86_64_MODULE !CONFIG_avx2_supported"
CONFIG_CRYPTO_CAMELLIA_AESNI_AVX2_X86_64_MODULE;;;\crypto\Kconfig:1051;\arch\x86\crypto\Makefile:50;yes;"!CONFIG_CRYPTO_CAMELLIA_AESNI_AVX2_X86_64 !CONFIG_avx2_supported"
CONFIG_CRYPTO_CAMELLIA_AESNI_AVX_X86_64;;;\crypto\Kconfig:1029;\arch\x86\crypto\Makefile:40;yes;"!CONFIG_CRYPTO_CAMELLIA_AESNI_AVX_X86_64_MODULE !CONFIG_avx_supported"
CONFIG_CRYPTO_CAMELLIA_AESNI_AVX_X86_64_MODULE;;;\crypto\Kconfig:1029;\arch\x86\crypto\Makefile:40;yes;"!CONFIG_CRYPTO_CAMELLIA_AESNI_AVX_X86_64 !CONFIG_avx_supported"
CONFIG_CRYPTO_CAST5_AVX_X86_64;;;\crypto\Kconfig:1104;\arch\x86\crypto\Makefile:42;yes;"!CONFIG_CRYPTO_CAST5_AVX_X86_64_MODULE !CONFIG_avx_supported"
CONFIG_CRYPTO_CAST5_AVX_X86_64_MODULE;;;\crypto\Kconfig:1104;\arch\x86\crypto\Makefile:42;yes;"!CONFIG_CRYPTO_CAST5_AVX_X86_64 !CONFIG_avx_supported"
CONFIG_CRYPTO_CAST6_AVX_X86_64;;;\crypto\Kconfig:1127;\arch\x86\crypto\Makefile:43;yes;"!CONFIG_CRYPTO_CAST6_AVX_X86_64_MODULE !CONFIG_avx_supported"
CONFIG_CRYPTO_CAST6_AVX_X86_64_MODULE;;;\crypto\Kconfig:1127;\arch\x86\crypto\Makefile:43;yes;"!CONFIG_CRYPTO_CAST6_AVX_X86_64 !CONFIG_avx_supported"
CONFIG_CRYPTO_DEV_CCP;;;\drivers\crypto\Kconfig:419;\drivers\crypto\Makefile:5;yes;"<too much to display>"
CONFIG_CRYPTO_SERPENT_AVX2_X86_64;;;\crypto\Kconfig:1352;\arch\x86\crypto\Makefile:51;yes;"!CONFIG_CRYPTO_SERPENT_AVX2_X86_64_MODULE !CONFIG_avx2_supported"
CONFIG_CRYPTO_SERPENT_AVX2_X86_64_MODULE;;;\crypto\Kconfig:1352;\arch\x86\crypto\Makefile:51;yes;"!CONFIG_CRYPTO_SERPENT_AVX2_X86_64 !CONFIG_avx2_supported"
CONFIG_CRYPTO_SERPENT_AVX_X86_64;;;\crypto\Kconfig:1330;\arch\x86\crypto\Makefile:45;yes;"!CONFIG_CRYPTO_SERPENT_AVX_X86_64_MODULE !CONFIG_avx_supported"
CONFIG_CRYPTO_SERPENT_AVX_X86_64_MODULE;;;\crypto\Kconfig:1330;\arch\x86\crypto\Makefile:45;yes;"!CONFIG_CRYPTO_SERPENT_AVX_X86_64 !CONFIG_avx_supported"
CONFIG_CRYPTO_TWOFISH_AVX_X86_64;;;\crypto\Kconfig:1468;\arch\x86\crypto\Makefile:44;yes;"!CONFIG_CRYPTO_TWOFISH_AVX_X86_64_MODULE !CONFIG_avx_supported"
CONFIG_CRYPTO_TWOFISH_AVX_X86_64_MODULE;;;\crypto\Kconfig:1468;\arch\x86\crypto\Makefile:44;yes;"!CONFIG_CRYPTO_TWOFISH_AVX_X86_64 !CONFIG_avx_supported"
CONFIG_DEBUG_BLK_CGROUP;\block\cfq-iosched.c:190, \block\cfq-iosched.c:210, \block\cfq-iosched.c:456, \block\cfq-iosched.c:586, \block\cfq-iosched.c:596, \block\cfq-iosched.c:674, \block\cfq-iosched.c:710, \block\cfq-iosched.c:729, \block\cfq-iosched.c:1535, \block\cfq-iosched.c:1555, \block\cfq-iosched.c:1958, \block\cfq-iosched.c:1982, \block\cfq-iosched.c:2105, \block\cfq-iosched.c:2135;;\init\Kconfig:1141;;yes;"!CONFIG_CFQ_GROUP_IOSCHED !CONFIG_IOSCHED_CFQ 
!CONFIG_CFQ_GROUP_IOSCHED CONFIG_IOSCHED_CFQ !CONFIG_IOSCHED_CFQ_MODULE"
CONFIG_DEBUG_OBJECTS_PERCPU_COUNTER;\lib\percpu_counter.c:18, \lib\percpu_counter.c:53, \lib\percpu_counter.c:58;;\lib\Kconfig.debug:440;;yes;"!CONFIG_SMP"
CONFIG_DEBUG_PER_CPU_MAPS;\arch\x86\mm\numa.c:91, \arch\x86\mm\numa.c:113, \arch\x86\mm\numa.c:757, \arch\x86\mm\numa.c:771, \arch\x86\mm\numa.c:869, \arch\x86\mm\numa_emulation.c:446, \arch\x86\mm\numa_emulation.c:472, \arch\x86\mm\numa_emulation.c:502, \lib\cpumask.c:65;\arch\x86\include\asm\numa.h:72, \arch\x86\include\asm\topology.h:53, \arch\x86\include\asm\topology.h:62, \arch\x86\include\asm\topology.h:70, \arch\x86\include\asm\topology.h:75, \include\linux\cpumask.h:116, \include\linux\cpumask.h:118;\lib\Kconfig.debug:634;;yes;"!CONFIG_CPUMASK_OFFSTACK !CONFIG_NUMA !CONFIG_NUMA_EMU CONFIG_SMP"
CONFIG_DEBUG_STACKOVERFLOW;\arch\blackfin\kernel\irqchip.c:50, \arch\m32r\kernel\irq.c:35, \arch\metag\kernel\irq.c:54, \arch\mips\kernel\irq.c:60, \arch\parisc\kernel\irq.c:165, \arch\parisc\kernel\irq.c:401, \arch\powerpc\kernel\irq.c:465, \arch\tile\kernel\irq.c:105, \arch\tile\kernel\messaging.c:57, \arch\x86\kernel\irq_32.c:24, \arch\x86\kernel\irq_64.c:34, \arch\xtensa\kernel\irq.c:42, \kernel\sysctl.c:947;;\lib\Kconfig.debug:655;;yes;"!CONFIG_SYSCTL CONFIG_X86"
CONFIG_DEBUG_TLBFLUSH;\mm\vmstat.c:856, \mm\vmstat.c:863;\include\linux\vmstat.h:90, \include\linux\vm_event_item.h:82, \include\linux\vm_event_item.h:89;\arch\x86\Kconfig.debug:169;;yes;"<too much to display>"
CONFIG_DEBUG_VM_VMACACHE;\mm\vmstat.c:865;\include\linux\vmstat.h:98, \include\linux\vm_event_item.h:90;\lib\Kconfig.debug:565;;yes;"!CONFIG_NUMA !CONFIG_PROC_FS !CONFIG_SYSFS 
CONFIG_NUMA !CONFIG_VM_EVENT_COUNTERS 
!CONFIG_NUMA CONFIG_PROC_FS !CONFIG_VM_EVENT_COUNTERS 
!CONFIG_NUMA !CONFIG_PROC_FS CONFIG_SYSFS !CONFIG_VM_EVENT_COUNTERS"
CONFIG_DM_DEBUG;\drivers\md\dm-snap.c:1323, \drivers\md\dm-snap.c:1355;\include\linux\device-mapper.h:527;\drivers\md\Kconfig:227;;yes;"!CONFIG_DM_SNAPSHOT !CONFIG_DM_SNAPSHOT_MODULE CONFIG_MD"
CONFIG_DPM_WATCHDOG;\drivers\base\power\main.c:398;;\kernel\power\Kconfig:187;;yes;"!CONFIG_PM_SLEEP"
CONFIG_DVB_AU8522;;\drivers\media\dvb-frontends\au8522.h:75;\drivers\media\dvb-frontends\Kconfig:621;\drivers\media\dvb-frontends\Makefile:73;no;"!CONFIG_DVB_AU8522_MODULE !CONFIG_DVB_CORE !CONFIG_DVB_CORE_MODULE"
CONFIG_DVB_AU8522_MODULE;;\drivers\media\dvb-frontends\au8522.h:75;\drivers\media\dvb-frontends\Kconfig:621;\drivers\media\dvb-frontends\Makefile:73;no;"!CONFIG_DVB_AU8522 !CONFIG_DVB_CORE !CONFIG_DVB_CORE_MODULE"
CONFIG_DVB_AU8522_V4L;;;\drivers\media\dvb-frontends\Kconfig:634;\drivers\media\dvb-frontends\Makefile:75;yes;"!CONFIG_DVB_AU8522_V4L_MODULE !CONFIG_DVB_CORE !CONFIG_DVB_CORE_MODULE"
CONFIG_DVB_AU8522_V4L_MODULE;;;\drivers\media\dvb-frontends\Kconfig:634;\drivers\media\dvb-frontends\Makefile:75;yes;"!CONFIG_DVB_AU8522_V4L !CONFIG_DVB_CORE !CONFIG_DVB_CORE_MODULE"
CONFIG_DVB_DUMMY_FE;;\drivers\media\dvb-frontends\dvb_dummy_fe.h:29, \drivers\media\dvb-frontends\dvb_dummy_fe.h:49;\drivers\media\dvb-frontends\Kconfig:850;\drivers\media\dvb-frontends\Makefile:83;yes;"!CONFIG_DVB_CORE !CONFIG_DVB_CORE_MODULE !CONFIG_DVB_DUMMY_FE_MODULE"
CONFIG_DVB_DUMMY_FE_MODULE;;\drivers\media\dvb-frontends\dvb_dummy_fe.h:29, \drivers\media\dvb-frontends\dvb_dummy_fe.h:49;\drivers\media\dvb-frontends\Kconfig:850;\drivers\media\dvb-frontends\Makefile:83;yes;"!CONFIG_DVB_CORE !CONFIG_DVB_CORE_MODULE !CONFIG_DVB_DUMMY_FE"
CONFIG_EDAC_ATOMIC_SCRUB;\drivers\edac\edac_mc.c:37;;\drivers\edac\Kconfig:6;;no;"!CONFIG_EDAC_MM_EDAC !CONFIG_EDAC_MM_EDAC_MODULE"
CONFIG_EDAC_DEBUG;\drivers\edac\altera_edac.c:189, \drivers\edac\amd64_edac.c:2772, \drivers\edac\cpc925_edac.c:464, \drivers\edac\edac_device.c:40, \drivers\edac\edac_device.c:51, \drivers\edac\edac_device.c:501, \drivers\edac\edac_mc.c:76, \drivers\edac\edac_mc.c:131, \drivers\edac\edac_mc.c:740, \drivers\edac\edac_mc_sysfs.c:926, \drivers\edac\edac_mc_sysfs.c:978, \drivers\edac\edac_module.c:20, \drivers\edac\i7300_edac.c:686, \drivers\edac\xgene_edac.c:176, \drivers\edac\xgene_edac.c:880, \drivers\edac\xgene_edac.c:1184;\drivers\edac\amd64_edac.h:403, \drivers\edac\edac_core.h:71, \drivers\edac\edac_core.h:81, \drivers\edac\edac_core.h:90, \drivers\edac\edac_module.h:66;\drivers\edac\Kconfig:44;\drivers\edac\Makefile:15, \drivers\edac\Makefile:47;yes;"CONFIG_EDAC !CONFIG_EDAC_AMD64 !CONFIG_EDAC_AMD64_MODULE !CONFIG_EDAC_CPC925 !CONFIG_EDAC_CPC925_MODULE !CONFIG_EDAC_I7300 !CONFIG_EDAC_I7300_MODULE !CONFIG_EDAC_MM_EDAC !CONFIG_EDAC_MM_EDAC_MODULE"
CONFIG_EDAC_LEGACY_SYSFS;\drivers\edac\edac_mc_sysfs.c:140, \drivers\edac\edac_mc_sysfs.c:944, \drivers\edac\edac_mc_sysfs.c:981;;\drivers\edac\Kconfig:36;;yes;"CONFIG_EDAC !CONFIG_EDAC_MM_EDAC !CONFIG_EDAC_MM_EDAC_MODULE"
CONFIG_EXPERT;\drivers\gpu\drm\drm_fb_helper.c:2178;;\init\Kconfig:1355;;yes;"CONFIG_DRM_KMS_HELPER !CONFIG_DRM_KMS_HELPER_MODULE !CONFIG_FRAMEBUFFER_CONSOLE_MODULE 
!CONFIG_DRM_FBDEV_EMULATION !CONFIG_DRM_KMS_HELPER 
CONFIG_DRM_FBDEV_EMULATION !CONFIG_DRM_KMS_HELPER CONFIG_DRM_KMS_HELPER_MODULE !CONFIG_FRAMEBUFFER_CONSOLE_MODULE 
!CONFIG_DRM_FBDEV_EMULATION CONFIG_DRM_KMS_HELPER !CONFIG_DRM_KMS_HELPER_MODULE CONFIG_FRAMEBUFFER_CONSOLE_MODULE"
CONFIG_FB_DEFERRED_IO;\drivers\video\fbdev\core\fbmem.c:1468, \drivers\video\fbdev\core\fbmem.c:1509;\include\linux\fb.h:211, \include\linux\fb.h:474;\drivers\video\fbdev\Kconfig:166;\drivers\video\fbdev\core\Makefile:6;no;"!CONFIG_FB !CONFIG_FB_MODULE"
CONFIG_FB_TILEBLITTING;\drivers\video\console\fbcon.c:648;\drivers\video\console\fbcon.h:217, \include\linux\fb.h:310, \include\linux\fb.h:385, \include\linux\fb.h:483;\drivers\video\fbdev\Kconfig:206;\drivers\video\console\Makefile:11;yes;"!CONFIG_FRAMEBUFFER_CONSOLE !CONFIG_FRAMEBUFFER_CONSOLE_MODULE"
CONFIG_FIX_EARLYCON_MEM;\arch\arm\kernel\setup.c:959, \drivers\tty\serial\earlycon.c:24, \drivers\tty\serial\earlycon.c:50;;\arch\arm\Kconfig:193, \arch\arm64\Kconfig:170, \arch\x86\Kconfig:289;;no;"!CONFIG_SERIAL_EARLYCON"
CONFIG_FLATMEM;\arch\ia64\mm\init.c:574, \arch\ia64\mm\init.c:623, \arch\metag\kernel\metag_ksyms.c:14, \arch\powerpc\mm\init_64.c:453, \arch\powerpc\mm\init_64.c:462, \arch\sh\kernel\sh_ksyms_32.c:23, \arch\tile\kernel\setup.c:399, \arch\tile\mm\init.c:778, \arch\tile\mm\init.c:790, \arch\x86\mm\init_32.c:672, \arch\x86\mm\init_32.c:743, \arch\x86\xen\mmu.c:1617, \arch\x86\xen\mmu.c:1627, \mm\page_alloc.c:5305;\arch\ia64\include\asm\page.h:115, \arch\metag\include\asm\page.h:112, \arch\mips\include\asm\page.h:197, \arch\powerpc\include\asm\page.h:127, \arch\sh\include\asm\page.h:179, \arch\tile\include\asm\page.h:312, \arch\tile\include\asm\pgtable.h:350, \arch\tile\include\asm\pgtable.h:352, \arch\x86\include\asm\page_32.h:17, \arch\x86\include\asm\page_32.h:19, \arch\x86\include\asm\page_64.h:33, \arch\x86\include\asm\pgtable_32.h:72, \include\asm-generic\memory_model.h:6, \include\asm-generic\memory_model.h:28, \include\asm-generic\memory_model.h:70, \include\linux\mmzone.h:992;\mm\Kconfig:72;\arch\ia64\mm\Makefile:11;no;"CONFIG_FLAT_NODE_MEM_MAP CONFIG_HAVE_MEMBLOCK_NODE_MAP !CONFIG_NEED_MULTIPLE_NODES !CONFIG_XEN"
CONFIG_FUSION_LOGGING;\drivers\message\fusion\mptbase.c:7246, \drivers\message\fusion\mptbase.c:7723, \drivers\message\fusion\mptscsih.c:424, \drivers\message\fusion\mptscsih.c:1002;\drivers\message\fusion\mptbase.h:609, \drivers\message\fusion\mptdebug.h:31, \drivers\message\fusion\mptdebug.h:64, \drivers\message\fusion\mptdebug.h:67, \drivers\message\fusion\mptdebug.h:146, \drivers\message\fusion\mptdebug.h:289;\drivers\message\fusion\Kconfig:110;\drivers\message\fusion\Makefile:4;yes;"CONFIG_FUSION !CONFIG_FUSION_FC !CONFIG_FUSION_FC_MODULE !CONFIG_FUSION_SAS !CONFIG_FUSION_SAS_MODULE !CONFIG_FUSION_SPI !CONFIG_FUSION_SPI_MODULE"
CONFIG_GENERIC_SMP_IDLE_THREAD;\kernel\smpboot.c:21;\kernel\smpboot.h:6;\arch\Kconfig:214;;no;"!CONFIG_SMP"
CONFIG_GOOGLE_FIRMWARE;;;\drivers\firmware\google\Kconfig:1;\drivers\firmware\Makefile:23;yes;"!CONFIG_GOOGLE_MEMCONSOLE !CONFIG_GOOGLE_MEMCONSOLE_MODULE !CONFIG_GOOGLE_SMI !CONFIG_GOOGLE_SMI_MODULE"
CONFIG_HAVE_ACPI_APEI_NMI;\drivers\acpi\apei\ghes.c:107, \drivers\acpi\apei\ghes.c:719, \drivers\acpi\apei\ghes.c:927, \drivers\acpi\apei\ghes.c:945, \drivers\acpi\apei\ghes.c:964;\include\linux\nmi.h:101;\drivers\acpi\apei\Kconfig:4;;no;"CONFIG_ACPI !CONFIG_ACPI_APEI_GHES CONFIG_ARCH_HAVE_NMI_SAFE_CMPXCHG"
CONFIG_HAVE_ARCH_SECCOMP_FILTER;\arch\arm\kernel\ptrace.c:936, \kernel\seccomp.c:24, \kernel\seccomp.c:547, \kernel\seccomp.c:714;\include\asm-generic\syscall.h:153, \include\linux\seccomp.h:30, \include\linux\seccomp.h:63;\arch\Kconfig:324;;no;"!CONFIG_SECCOMP !CONFIG_SECCOMP_FILTER"
CONFIG_HAVE_CMPXCHG_DOUBLE;\drivers\iommu\intel_irq_remapping.c:172, \mm\slub.c:371, \mm\slub.c:407, \mm\slub.c:3356;\include\linux\mm_types.h:67;\arch\Kconfig:311;;no;"!CONFIG_HAVE_ALIGNED_STRUCT_PAGE !CONFIG_IRQ_REMAP !CONFIG_SLUB"
CONFIG_HAVE_CMPXCHG_LOCAL;\mm\vmstat.c:308;;\arch\Kconfig:308;;no;"!CONFIG_SMP"
CONFIG_HAVE_SETUP_PER_CPU_AREA;\mm\percpu.c:1742, \mm\percpu.c:2165, \mm\percpu.c:2213;\include\asm-generic\percpu.h:46, \include\linux\percpu.h:121;\arch\ia64\Kconfig:111, \arch\powerpc\Kconfig:30, \arch\sparc\Kconfig:115, \arch\tile\Kconfig:57, \arch\x86\Kconfig:227;;no;"CONFIG_NEED_PER_CPU_EMBED_FIRST_CHUNK !CONFIG_SMP"
