variable;solutions
CONFIG_DVB_AU8522_MODULE;!CONFIG_DVB_CORE !CONFIG_DVB_AU8522 !CONFIG_DVB_CORE_MODULE 
CONFIG_INLINE_WRITE_UNLOCK_IRQ;!CONFIG_DEBUG_SPINLOCK !CONFIG_SMP !CONFIG_PROVE_LOCKING 
CONFIG_HAVE_CMPXCHG_LOCAL;!CONFIG_SMP 
CONFIG_LOCKD_V4;!CONFIG_NFSD_MODULE !CONFIG_NFSD 
CONFIG_NEED_PER_CPU_EMBED_FIRST_CHUNK;!CONFIG_SMP CONFIG_HAVE_SETUP_PER_CPU_AREA 
CONFIG_ASYNC_XOR_MODULE;!CONFIG_DMA_ENGINE !CONFIG_ASYNC_TX_DISABLE_XOR_VAL_DMA !CONFIG_ASYNC_XOR 
CONFIG_PCMCIA_PROBE;!CONFIG_PCMCIA !CONFIG_PCCARD !CONFIG_PCMCIA_MODULE CONFIG_PCCARD_MODULE ;!CONFIG_PCMCIA CONFIG_PCCARD !CONFIG_PCMCIA_MODULE !CONFIG_PCCARD_MODULE 
CONFIG_ARCH_WANT_HUGE_PMD_SHARE;!CONFIG_HUGETLBFS 
CONFIG_NEED_SG_DMA_LENGTH;!CONFIG_INFINIBAND_SRP_MODULE !CONFIG_INFINIBAND_HFI1_MODULE !CONFIG_STAGING_RDMA_MODULE !CONFIG_STAGING_RDMA CONFIG_INFINIBAND_MODULE !CONFIG_INFINIBAND_HFI1 !CONFIG_INFINIBAND !CONFIG_INFINIBAND_SRP ;!CONFIG_INFINIBAND_SRP_MODULE !CONFIG_INFINIBAND_HFI1_MODULE !CONFIG_STAGING_RDMA_MODULE !CONFIG_STAGING_RDMA !CONFIG_INFINIBAND_MODULE !CONFIG_INFINIBAND_HFI1 !CONFIG_INFINIBAND_SRP ;!CONFIG_INFINIBAND_SRP_MODULE !CONFIG_INFINIBAND_HFI1_MODULE CONFIG_STAGING_RDMA_MODULE !CONFIG_STAGING_RDMA CONFIG_INFINIBAND_MODULE !CONFIG_INFINIBAND_HFI1 !CONFIG_INFINIBAND !CONFIG_INFINIBAND_SRP CONFIG_STAGING ;!CONFIG_INFINIBAND_SRP_MODULE !CONFIG_INFINIBAND_HFI1_MODULE CONFIG_STAGING_RDMA_MODULE !CONFIG_STAGING_RDMA !CONFIG_INFINIBAND_MODULE !CONFIG_INFINIBAND_HFI1 CONFIG_INFINIBAND !CONFIG_INFINIBAND_SRP CONFIG_STAGING ;!CONFIG_INFINIBAND_SRP_MODULE !CONFIG_INFINIBAND_HFI1_MODULE !CONFIG_STAGING_RDMA_MODULE CONFIG_STAGING_RDMA !CONFIG_INFINIBAND_MODULE !CONFIG_INFINIBAND_HFI1 CONFIG_INFINIBAND !CONFIG_INFINIBAND_SRP CONFIG_STAGING 
CONFIG_ASYNC_PQ_MODULE;!CONFIG_DMA_ENGINE !CONFIG_ASYNC_PQ !CONFIG_ASYNC_TX_DISABLE_PQ_VAL_DMA 
CONFIG_HAVE_SETUP_PER_CPU_AREA;!CONFIG_SMP CONFIG_NEED_PER_CPU_EMBED_FIRST_CHUNK 
CONFIG_MODULES_TREE_LOOKUP;!CONFIG_MODULES 
CONFIG_IWLWIFI_LEDS;CONFIG_IWLWIFI !CONFIG_IWLMVM !CONFIG_IWLWIFI_MODULE !CONFIG_IWLMVM_MODULE !CONFIG_IWLDVM CONFIG_WLAN !CONFIG_IWLDVM_MODULE ;!CONFIG_IWLWIFI !CONFIG_IWLMVM CONFIG_IWLWIFI_MODULE !CONFIG_IWLMVM_MODULE !CONFIG_IWLDVM CONFIG_WLAN !CONFIG_IWLDVM_MODULE 
CONFIG_TRACE_IRQFLAGS_SUPPORT;!CONFIG_TRACEPOINTS !CONFIG_RING_BUFFER !CONFIG_TRACING !CONFIG_FUNCTION_TRACER ;!CONFIG_TRACEPOINTS CONFIG_RING_BUFFER !CONFIG_TRACING !CONFIG_FUNCTION_TRACER CONFIG_TRACE_CLOCK 
CONFIG_ASYNC_XOR;!CONFIG_DMA_ENGINE !CONFIG_ASYNC_TX_DISABLE_XOR_VAL_DMA !CONFIG_ASYNC_XOR_MODULE 
CONFIG_ASYNC_PQ;!CONFIG_DMA_ENGINE !CONFIG_ASYNC_PQ_MODULE !CONFIG_ASYNC_TX_DISABLE_PQ_VAL_DMA 
CONFIG_ARCH_HAS_CPU_RELAX;!CONFIG_CPU_IDLE 
CONFIG_VIDEOBUF2_VMALLOC_MODULE;!CONFIG_VIDEOBUF2_VMALLOC !CONFIG_VIDEO_DEV_MODULE !CONFIG_VIDEO_DEV CONFIG_HAS_DMA 
CONFIG_FB_DEFERRED_IO;!CONFIG_FB_MODULE !CONFIG_FB 
CONFIG_FIX_EARLYCON_MEM;!CONFIG_SERIAL_EARLYCON 
CONFIG_MEDIA_ATTACH;!CONFIG_DVB_BT8XX_MODULE !CONFIG_VIDEO_BT848 !CONFIG_VIDEO_TUNER !CONFIG_VIDEO_TUNER_MODULE !CONFIG_VIDEO_DEV !CONFIG_DVB_BT8XX !CONFIG_VIDEO_BT848_MODULE ;!CONFIG_VIDEO_DEV_MODULE !CONFIG_DVB_BT8XX_MODULE !CONFIG_VIDEO_BT848 !CONFIG_VIDEO_TUNER !CONFIG_VIDEO_TUNER_MODULE CONFIG_VIDEO_DEV !CONFIG_DVB_BT8XX !CONFIG_VIDEO_BT848_MODULE 
CONFIG_VIDEOBUF2_VMALLOC;!CONFIG_VIDEOBUF2_VMALLOC_MODULE !CONFIG_VIDEO_DEV_MODULE !CONFIG_VIDEO_DEV CONFIG_HAS_DMA 
CONFIG_BCMA_BLOCKIO;!CONFIG_BCMA_HOST_SOC CONFIG_BCMA_MODULE !CONFIG_BCMA_HOST_PCI !CONFIG_BCMA ;!CONFIG_BCMA_HOST_SOC !CONFIG_BCMA_MODULE !CONFIG_BCMA_HOST_PCI CONFIG_BCMA 
CONFIG_ARCH_HAVE_NMI_SAFE_CMPXCHG;CONFIG_ACPI !CONFIG_GENERIC_ALLOCATOR CONFIG_HAVE_ACPI_APEI_NMI !CONFIG_ACPI_APEI_GHES ;!CONFIG_ACPI !CONFIG_ACPI_APEI !CONFIG_GENERIC_ALLOCATOR !CONFIG_HAVE_ACPI_APEI_NMI !CONFIG_ACPI_APEI_GHES 
CONFIG_HAVE_CMPXCHG_DOUBLE;!CONFIG_SLUB !CONFIG_IRQ_REMAP !CONFIG_HAVE_ALIGNED_STRUCT_PAGE 
CONFIG_XEN_HAVE_VPMU;CONFIG_XEN !CONFIG_XEN_SYS_HYPERVISOR 
CONFIG_HAVE_ARCH_SECCOMP_FILTER;!CONFIG_SECCOMP !CONFIG_SECCOMP_FILTER 
CONFIG_RING_BUFFER_ALLOW_SWAP;!CONFIG_TRACEPOINTS CONFIG_TRACER_SNAPSHOT !CONFIG_RING_BUFFER !CONFIG_TRACING CONFIG_TRACER_MAX_TRACE !CONFIG_FUNCTION_TRACER 
CONFIG_PCI_LABEL;!CONFIG_ACPI !CONFIG_PCI CONFIG_DMI 
CONFIG_VIDEOBUF2_CORE;!CONFIG_VIDEO_DEV_MODULE !CONFIG_VIDEOBUF2_CORE_MODULE CONFIG_MMU !CONFIG_VIDEO_DEV 
CONFIG_NEED_DMA_MAP_STATE;!CONFIG_CHELSIO_T4VF !CONFIG_NET_VENDOR_CHELSIO !CONFIG_CHELSIO_T3 !CONFIG_CHELSIO_T4 !CONFIG_CHELSIO_T4VF_MODULE !CONFIG_CHELSIO_T3_MODULE !CONFIG_CHELSIO_T4_MODULE ;CONFIG_ETHERNET !CONFIG_CHELSIO_T4VF CONFIG_NET_VENDOR_CHELSIO !CONFIG_CHELSIO_T3 !CONFIG_CHELSIO_T4 !CONFIG_CHELSIO_T4VF_MODULE !CONFIG_CHELSIO_T3_MODULE !CONFIG_CHELSIO_T4_MODULE 
CONFIG_HAVE_ACPI_APEI_NMI;CONFIG_ACPI !CONFIG_ACPI_APEI_GHES CONFIG_ARCH_HAVE_NMI_SAFE_CMPXCHG 
CONFIG_VIDEOBUF2_CORE_MODULE;!CONFIG_VIDEO_DEV_MODULE CONFIG_MMU !CONFIG_VIDEO_DEV !CONFIG_VIDEOBUF2_CORE 
CONFIG_NF_CONNTRACK_LABELS;!CONFIG_NFT_CT_MODULE !CONFIG_NFT_CT !CONFIG_NF_CT_NETLINK CONFIG_NETFILTER !CONFIG_NF_CT_NETLINK_MODULE 
CONFIG_ARCH_DMA_ADDR_T_64BIT;CONFIG_ETHERNET !CONFIG_ADAPTEC_STARFIRE_MODULE CONFIG_DMADEVICES !CONFIG_RCAR_DMAC !CONFIG_TEGRA_IOMMU_SMMU CONFIG_RENESAS_DMA !CONFIG_ADAPTEC_STARFIRE !CONFIG_RCAR_DMAC_MODULE ;!CONFIG_ETHERNET !CONFIG_ADAPTEC_STARFIRE_MODULE CONFIG_DMADEVICES !CONFIG_RCAR_DMAC !CONFIG_NET_VENDOR_ADAPTEC !CONFIG_TEGRA_IOMMU_SMMU CONFIG_RENESAS_DMA !CONFIG_ADAPTEC_STARFIRE !CONFIG_RCAR_DMAC_MODULE ;CONFIG_ETHERNET !CONFIG_ADAPTEC_STARFIRE_MODULE !CONFIG_RCAR_DMAC !CONFIG_TEGRA_IOMMU_SMMU !CONFIG_RENESAS_DMA !CONFIG_ADAPTEC_STARFIRE !CONFIG_RCAR_DMAC_MODULE ;!CONFIG_ETHERNET !CONFIG_ADAPTEC_STARFIRE_MODULE !CONFIG_RCAR_DMAC !CONFIG_NET_VENDOR_ADAPTEC !CONFIG_TEGRA_IOMMU_SMMU !CONFIG_RENESAS_DMA !CONFIG_ADAPTEC_STARFIRE !CONFIG_RCAR_DMAC_MODULE 
CONFIG_SSB_BLOCKIO;!CONFIG_SSB_SDIOHOST !CONFIG_SSB_PCMCIAHOST !CONFIG_SSB_MODULE !CONFIG_SSB_PCIHOST CONFIG_SSB !CONFIG_SSB_HOST_SOC ;!CONFIG_SSB_SDIOHOST !CONFIG_SSB_PCMCIAHOST CONFIG_SSB_MODULE !CONFIG_SSB_PCIHOST !CONFIG_SSB !CONFIG_SSB_HOST_SOC 
CONFIG_TRACER_MAX_TRACE;!CONFIG_TRACEPOINTS !CONFIG_RING_BUFFER !CONFIG_TRACING !CONFIG_FUNCTION_TRACER !CONFIG_TRACE_CLOCK !CONFIG_FTRACE_STARTUP_TEST ;!CONFIG_TRACEPOINTS CONFIG_RING_BUFFER_ALLOW_SWAP !CONFIG_TRACING !CONFIG_FUNCTION_TRACER CONFIG_TRACE_CLOCK !CONFIG_FTRACE_STARTUP_TEST ;!CONFIG_TRACEPOINTS !CONFIG_RING_BUFFER_ALLOW_SWAP !CONFIG_RING_BUFFER !CONFIG_TRACING !CONFIG_FUNCTION_TRACER CONFIG_TRACE_CLOCK !CONFIG_FTRACE_STARTUP_TEST 
